Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR21916232_2	SRR21916232_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89672.0	22.5 Mbp	0.0	243-251	55.0	11.809706485859577	250.99973235792666	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916233_1	SRR21916233_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98917.0	24.1 Mbp	0.0	244-251	57.0	5.892819232285654	244.00042459840068	244	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916233_2	SRR21916233_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98917.0	24.8 Mbp	0.0	244-251	55.0	11.647138510063993	250.99957540159932	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916234_1	SRR21916234_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71874.0	17.3 Mbp	0.0	241.0	57.0	6.661657901327322	241.0	241	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916234_2	SRR21916234_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71874.0	18 Mbp	0.0	251.0	55.0	12.207474190945264	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916235_1	SRR21916235_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86492.0	20.9 Mbp	0.0	242.0	57.0	5.825972344263054	242.0	242	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916235_2	SRR21916235_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86492.0	21.7 Mbp	0.0	251.0	55.0	11.947925819728992	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916236_1	SRR21916236_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82751.0	20 Mbp	0.0	242-251	57.0	6.948556512912231	242.00032628004496	242	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
SRR21916236_2	SRR21916236_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82751.0	20.7 Mbp	0.0	242-251	55.0	11.910430085437033	250.99967371995504	251	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass
SRR21916237_1	SRR21916237_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97251.0	23.6 Mbp	0.0	243.0	57.0	5.835415574132914	243.0	243	pass	pass		pass	fail	warn	pass	pass	fail	fail	pass
SRR21916237_2	SRR21916237_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97251.0	24.4 Mbp	0.0	251.0	55.0	11.510421486668518	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
